epoch_utc,station,receiver_clock_offset_s,receiver_clock_offset_ns,sigma_s,sigma_ns
2025-04-10T03:07:42,ALGO,-4.058e-09,-4.058,,
2025-04-10T03:08:12,ALGO,-3.77e-09,-3.77,,
2025-04-10T03:08:42,ALGO,-4.545e-09,-4.545,,
2025-04-10T03:09:12,ALGO,-4.128e-09,-4.128,,
2025-04-10T03:09:42,ALGO,-4.163e-09,-4.162999999999999,,
2025-04-10T03:10:12,ALGO,-4.111e-09,-4.111000000000001,,
2025-04-10T03:10:42,ALGO,-4.619e-09,-4.619,,
2025-04-10T03:11:12,ALGO,-3.919e-09,-3.919,,
2025-04-10T03:11:42,ALGO,-4.04e-09,-4.04,,
2025-04-10T03:12:12,ALGO,-4.121e-09,-4.121,,
2025-04-10T03:12:42,ALGO,-3.576e-09,-3.576,,
2025-04-10T03:13:12,ALGO,-4.573e-09,-4.5729999999999995,,
2025-04-10T03:13:42,ALGO,-4.108e-09,-4.1080000000000005,,
2025-04-10T03:14:12,ALGO,-4.314e-09,-4.314,,
2025-04-10T03:14:42,ALGO,-4.438e-09,-4.438,,
2025-04-10T03:15:12,ALGO,-4.895e-09,-4.8950000000000005,,
2025-04-10T03:15:42,ALGO,-4.786e-09,-4.786,,
2025-04-10T03:16:12,ALGO,-4.999e-09,-4.999,,
2025-04-10T03:16:42,ALGO,-4.657e-09,-4.657,,
2025-04-10T03:17:12,ALGO,-4.38e-09,-4.38,,
2025-04-10T03:17:42,ALGO,-4.115e-09,-4.115,,
2025-04-10T03:18:12,ALGO,-4.277e-09,-4.277,,
2025-04-10T03:18:42,ALGO,-4.857e-09,-4.857,,
2025-04-10T03:19:12,ALGO,-4.352e-09,-4.351999999999999,,
2025-04-10T03:19:42,ALGO,-4.051e-09,-4.051,,
2025-04-10T03:20:12,ALGO,-4.968e-09,-4.968,,
2025-04-10T03:20:42,ALGO,-3.825e-09,-3.825,,
